Format Version,1.23,Capture Frame Rate,120,Export Frame Rate,,,,,,
,,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Shoulder 002,Shoulder 002,Shoulder 002,Elbow 002,Elbow 002,Elbow 002,Hand 002,Hand 002,Hand 002
,ID,6E68CFAB7CF911EF7E5C15E596CCCB90,6E68CFAB7CF911EF7E5C15E596CCCB90,6E68CFAB7CF911EF7E5C15E596CCCB90,748D07277CF911EF7E5C15E596CCCB90,748D07277CF911EF7E5C15E596CCCB90,748D07277CF911EF7E5C15E596CCCB90,748D07797CF911EF7E5C15E596CCCB90,748D07797CF911EF7E5C15E596CCCB90,748D07797CF911EF7E5C15E596CCCB90
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
44,0.367,137.00296,1409.106689,156.970352,159.350327,1094.132812,193.602814,222.983383,926.469604,336.115967
45,0.375,136.878372,1409.119751,156.707062,159.734528,1094.234497,193.425964,222.652817,928.488953,338.142151
46,0.383,136.773148,1409.124146,156.47081,160.041153,1094.349243,193.300018,222.221695,930.786499,340.207367
47,0.392,136.634811,1409.124268,156.242538,160.616379,1094.534058,193.155701,221.967667,932.937927,342.283508
48,0.4,136.517426,1409.130249,156.002991,161.014328,1094.656982,192.928604,221.342499,935.330322,344.342834
49,0.408,136.404037,1409.163086,155.754105,161.511658,1094.759155,192.672348,221.073822,937.595337,346.235596
50,0.417,136.3022,1409.188721,155.569504,162.05394,1094.924194,192.335266,220.681763,940.065613,348.219116
51,0.425,136.21817,1409.210938,155.387421,162.653748,1095.081665,192.026489,220.194168,942.514771,350.000427
52,0.433,136.143494,1409.233643,155.216431,163.259079,1095.22876,191.696472,219.563889,945.171753,351.89032
53,0.442,136.046234,1409.245483,155.067535,163.653641,1095.380859,191.342819,219.142761,947.695129,353.614838
54,0.45,135.976822,1409.268677,154.923996,164.126434,1095.552856,190.90686,218.314392,950.427612,355.362091
55,0.458,135.909027,1409.281372,154.792236,164.581375,1095.711426,190.475906,217.465256,953.231689,357.107697
56,0.467,135.712997,1409.430786,154.621277,165.092056,1095.857788,190.055222,217.267593,955.699158,358.770447
57,0.475,135.67746,1409.405518,154.48642,165.684738,1096.029175,189.64151,216.363251,958.454102,360.471619
58,0.483,135.548782,1409.496948,154.371124,166.115005,1096.185059,189.258392,215.453964,961.221069,362.065186
59,0.492,135.497681,1409.526978,154.273315,166.454498,1096.336548,188.943436,214.81485,963.858887,363.468536
60,0.5,135.443954,1409.561279,154.160965,166.862335,1096.505737,188.615707,214.065704,966.606934,364.905182
61,0.508,135.404556,1409.571655,154.054749,167.289291,1096.670044,188.22757,213.45517,969.342041,366.167053
62,0.517,135.355316,1409.597778,153.95874,167.759293,1096.926392,187.949554,212.426147,972.097778,367.556122
63,0.525,135.31131,1409.598145,153.870453,168.176453,1097.195679,187.653717,211.653839,974.852356,368.815735
64,0.533,135.262802,1409.609985,153.79155,168.600677,1097.390137,187.140579,211.116928,977.52771,369.672882
65,0.542,135.23616,1409.616821,153.70192,169.006287,1097.612305,186.659821,210.104797,980.390381,370.809265
66,0.55,135.201065,1409.621094,153.632629,169.668991,1097.940308,186.344086,209.366394,983.100952,371.813019
67,0.558,135.167877,1409.626099,153.571091,170.04126,1098.214478,186.027939,208.701843,985.865417,372.696503
68,0.567,135.142014,1409.638672,153.52153,170.290359,1098.408325,185.617981,208.02536,988.865479,373.656525
69,0.575,135.117508,1409.659912,153.470276,170.492706,1098.620972,185.261932,207.326141,991.931763,374.557159
70,0.583,135.109833,1409.595215,153.41835,170.802567,1098.97583,185.063843,206.540833,995.030823,375.469574
71,0.592,135.072571,1409.620728,153.370392,171.07782,1099.412231,184.922333,205.411591,998.674316,376.901489
72,0.6,135.070984,1409.623047,153.333878,171.201447,1099.652588,184.569122,204.677094,1001.675964,377.592529
73,0.608,135.037354,1409.637939,153.28775,171.343811,1099.984131,184.22197,204.013016,1004.718994,378.2453
74,0.617,135.000732,1409.640991,153.244141,171.48497,1100.42041,183.994278,203.70015,1007.155151,378.620575
75,0.625,134.91507,1409.692261,153.146301,171.576889,1100.789551,183.785904,203.036469,1010.247253,379.216858
76,0.633,134.878494,1409.717041,153.110321,171.511261,1100.946899,183.356064,201.979889,1013.488525,379.8685
77,0.642,134.820755,1409.747192,153.06192,171.489517,1101.195068,182.969666,201.562088,1016.730408,380.233063
78,0.65,134.790146,1409.76001,153.021423,171.673553,1101.803467,182.954742,200.423019,1020.030029,380.651367
79,0.658,134.75827,1409.789917,152.971405,171.565079,1102.050293,182.603073,198.87883,1023.184998,381.314484
80,0.667,134.714264,1409.83252,152.917862,171.348282,1102.276489,182.040878,198.322647,1026.459229,381.492615
81,0.675,134.654373,1409.862793,152.868332,171.170868,1102.580444,181.636307,197.14798,1030.092407,381.577972
82,0.683,134.623138,1409.882324,152.801086,170.995621,1102.986938,181.569168,196.53093,1033.681763,381.978394
83,0.692,134.554062,1409.897705,152.730591,170.906326,1103.240723,181.312744,195.630524,1036.60083,382.550201
84,0.7,134.476334,1409.905762,152.632721,170.784424,1103.62915,181.241058,194.947754,1039.694092,382.980194
85,0.708,134.398544,1409.921265,152.541504,170.513336,1103.936157,181.150482,194.174088,1042.778076,383.376282
86,0.717,134.328949,1409.891968,152.438171,170.296188,1104.216919,181.021957,193.35907,1045.493652,383.735626
87,0.725,134.243256,1409.845825,152.325317,170.031845,1104.494507,180.940781,192.91745,1048.507812,383.977753
88,0.733,134.055374,1409.881714,152.178497,169.808502,1104.79895,180.824036,191.807892,1051.528809,384.589874
89,0.742,133.960541,1409.88562,152.065659,169.604721,1105.045288,180.672607,191.091476,1054.564087,385.62674
90,0.75,133.883545,1409.875854,151.973541,169.480026,1105.254639,180.451157,190.291168,1057.826416,385.42691
91,0.758,133.774109,1409.892212,151.865738,169.226868,1105.359741,180.067703,189.612137,1060.914551,384.985168
92,0.767,133.646805,1409.86145,151.749771,168.912888,1105.625366,180.137894,188.962646,1063.975586,384.721313
93,0.775,133.50592,1409.857178,151.620102,168.648163,1106.01001,180.393555,188.183273,1066.942017,384.516724
94,0.783,133.354889,1409.853394,151.492401,168.341827,1106.245483,180.109528,187.336136,1069.446533,384.171265
95,0.792,133.182053,1409.846313,151.361465,168.067871,1106.484497,180.037964,186.989868,1072.712769,383.820251
96,0.8,132.938217,1409.825806,151.191711,167.654175,1106.629517,179.980652,186.557571,1075.821167,383.991058
97,0.808,132.69278,1409.839478,151.052795,167.333359,1106.816895,179.883148,185.634186,1078.768921,383.880066
98,0.817,132.46228,1409.84668,150.910095,167.085983,1107.060059,179.84697,185.159653,1081.888794,383.195251
99,0.825,132.233337,1409.866089,150.762054,167.128799,1107.30127,179.726807,184.444489,1084.789551,382.921265
100,0.833,131.923004,1409.869751,150.563919,167.104401,1107.60144,179.375198,183.351212,1087.880981,383.594482
101,0.842,131.642181,1410.005615,150.385223,166.77951,1107.69519,178.940323,182.738739,1090.953613,384.350189
102,0.85,131.423065,1409.97937,150.228897,166.475067,1107.934814,178.562698,182.053467,1093.704834,384.777008
