Time (Seconds),r_shoulder_top_x,r_shoulder_top_y,r_shoulder_top_z,r_elbow_out_x,r_elbow_out_y,r_elbow_out_z,r_wrist_out_x,r_wrist_out_y,r_wrist_out_z
0.383,-740.88855,1409.391724,-825.379456,-736.503052,1034.644043,-945.630432,-868.9953,900.665771,-964.377258
0.392,-745.435913,1409.739746,-822.509094,-743.358215,1035.136353,-943.374817,-876.436401,901.734375,-960.543396
0.4,-750.247498,1410.146606,-819.74646,-750.221069,1035.716919,-941.101135,-883.791138,902.509705,-956.748474
0.408,-754.735107,1410.531982,-816.743042,-757.088257,1036.374878,-938.984253,-891.097534,903.510437,-953.235291
0.417,-759.259888,1410.925049,-813.83136,-763.989014,1036.967041,-936.66156,-898.38385,904.541016,-949.77948
0.425,-763.855652,1411.135376,-810.813782,-770.774719,1037.65686,-934.408813,-905.596436,905.492188,-946.508484
0.433,-768.544312,1411.516357,-807.674011,-777.481506,1038.372437,-932.515625,-912.767883,906.494263,-943.307007
0.442,-773.419312,1411.647339,-804.574829,-784.291016,1039.061768,-930.208191,-919.86615,907.424316,-940.233276
0.45,-778.124512,1411.889038,-801.299194,-791.186035,1039.587891,-927.892456,-927.060608,908.410034,-937.063171
0.458,-782.796753,1412.07251,-797.886536,-798.456421,1039.923828,-925.523071,-934.137329,909.241882,-934.050232
0.467,-787.7276,1412.306274,-794.499512,-805.159119,1040.54834,-923.363159,-941.127441,910.13562,-931.040649
0.475,-792.776794,1412.42627,-791.006348,-811.592407,1041.49231,-921.306396,-947.985657,911.017944,-928.025208
0.483,-797.571533,1412.376221,-787.301392,-817.812073,1042.496216,-919.568359,-954.634949,911.929565,-925.218506
0.492,-802.37207,1412.381958,-783.603027,-823.872986,1043.449829,-917.85199,-961.430847,912.675842,-922.239258
0.5,-807.446777,1412.486206,-780.009033,-832.86792,1043.329102,-913.139954,-968.146118,913.361877,-919.190063
0.508,-812.398315,1412.319458,-776.1828,-839.122803,1044.108398,-910.852661,-974.645996,914.042542,-916.14679
0.517,-817.088684,1411.755737,-772.192932,-844.870178,1045.185913,-908.942566,-981.155701,914.664429,-913.143982
0.525,-821.667908,1411.90332,-768.451599,-851.259827,1045.770386,-906.279968,-987.643982,915.129211,-909.917297
0.533,-826.404541,1411.898071,-764.707764,-857.801819,1046.144043,-903.370361,-993.888062,915.575684,-906.733826
0.542,-831.206299,1411.410034,-760.698975,-864.16394,1046.587646,-900.471802,-1000.203735,915.971008,-903.470703
0.55,-836.142151,1411.38501,-756.846069,-870.351318,1046.91748,-897.659729,-1006.435425,916.154419,-900.127869
0.558,-840.820679,1410.999756,-753.003601,-876.641663,1047.155884,-894.435364,-1012.338135,916.433044,-896.713989
0.567,-845.6745,1410.515991,-749.005432,-882.744019,1047.353516,-891.210083,-1018.502808,916.479492,-893.071655
0.575,-850.585205,1410.238892,-745.15686,-888.893616,1047.489136,-887.867065,-1024.459717,916.537903,-889.434265
0.583,-855.374939,1409.929321,-741.208923,-894.928101,1047.506836,-884.380798,-1030.263794,916.457397,-885.49646
0.592,-860.09436,1409.299194,-737.178528,-899.255798,1048.483154,-882.872314,-1035.914185,916.350464,-881.756531
