Format Version,1.23,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,S_Hip,S_Hip,S_Hip,S_wrist,S_wrist,S_wrist,S_Shoulder,S_Shoulder,S_Shoulder,S_Elbow,S_Elbow,S_Elbow,S_Chest,S_Chest,S_Chest
,ID,222E1178988311EF7E5C15E596CCCE90,222E1178988311EF7E5C15E596CCCE90,222E1178988311EF7E5C15E596CCCE90,2947748F988311EF7E5C15E596CCCE90,2947748F988311EF7E5C15E596CCCE90,2947748F988311EF7E5C15E596CCCE90,35A7A6F9988311EF7E5C15E596CCCE90,35A7A6F9988311EF7E5C15E596CCCE90,35A7A6F9988311EF7E5C15E596CCCE90,35A7A7EA988311EF7E5C15E596CCCE90,35A7A7EA988311EF7E5C15E596CCCE90,35A7A7EA988311EF7E5C15E596CCCE90,4370B3AF988311EF7E5C15E596CCCE90,4370B3AF988311EF7E5C15E596CCCE90,4370B3AF988311EF7E5C15E596CCCE90
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,0,0,0,143.623611,980.706787,358.018982,63.967316,1466.227173,292.672729,87.907318,1191.205322,314.046539,-150.490295,1371.961792,422.531403
1,0.008,0,0,0,142.743713,980.938904,359.418365,64.322792,1466.190552,293.959656,87.695877,1191.251099,315.20108,-150.477264,1371.919189,422.896606
2,0.017,60.15667,990.55188,342.887421,141.646942,980.62146,361.021729,64.88427,1466.11438,295.150574,87.515671,1191.136353,316.381348,-150.459351,1371.8927,423.305817
3,0.025,64.484322,991.537537,342.806427,140.479721,980.553589,362.68692,65.224304,1465.934814,296.066895,87.308395,1191.039551,317.509827,-150.495544,1371.823242,423.720642
4,0.033,64.667084,991.386597,342.910919,139.502792,980.255188,363.878265,65.463112,1465.812012,296.895355,87.258682,1190.925415,318.408844,-150.504395,1371.781494,424.140167
5,0.042,64.709297,991.229492,343.843506,138.401306,979.930481,365.34259,65.777573,1465.666382,297.710541,87.134888,1190.794067,319.445374,-150.437302,1371.767944,424.454193
6,0.05,64.621719,990.941956,344.808685,137.251328,979.73999,366.853577,66.1026,1465.556152,298.321198,87.170853,1190.529785,319.963287,-150.289734,1371.733887,424.739075
7,0.058,64.519783,990.834534,345.85788,136.015335,979.267273,368.157715,66.317894,1465.332886,298.951782,87.066185,1190.260864,320.778809,-150.195679,1371.712524,425.074585
8,0.067,64.43824,990.748596,346.697235,135.030701,978.810425,369.468506,66.645813,1465.08728,299.43985,86.907196,1189.94397,321.617737,-149.963531,1371.685669,425.424072
9,0.075,64.43824,990.748596,346.697235,133.891586,978.507263,370.942352,66.85228,1464.841431,300.020538,86.763695,1189.578735,322.333435,-149.808472,1371.59668,425.755798
10,0.083,66.487343,992.099548,347.360535,132.753067,978.097046,372.42868,67.268394,1464.584473,300.522736,86.525749,1189.091187,323.075043,-149.665604,1371.541626,426.067261
11,0.092,66.281784,992.144348,347.166321,131.983749,977.891785,373.622711,67.590668,1464.325439,300.957428,86.54364,1188.665894,323.521637,-149.521835,1371.472412,426.401672
12,0.1,66.562454,992.444702,347.277924,130.655746,977.241943,375.134766,67.909966,1463.882568,301.579895,86.103424,1188.209839,324.37674,-149.388596,1371.385254,426.730469
13,0.108,66.019966,992.079041,348.191284,129.625015,976.791565,376.504364,68.142044,1463.522949,301.973267,85.930595,1187.799438,324.977814,-149.245346,1371.292725,427.08786
