Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,-0.017295,-0.666433,0.07191,0.741887,-393.601135,853.166504,-732.903442,-0.014208,0.001099,0.000016,0.999898,0.000015,92.983475,0.000001,0.039149,0.001293,-0.005025,0.99922,0.00002,241.522995,0.000008,0.096039,0.112604,-0.108691,0.982997,0.00002,223.459686,-0.000005,0.063311,0.106455,-0.060236,0.99047,-0.00001,122.092705,17.800783,0.038631,-0.036803,-0.226759,0.972488,35.472599,204.160965,-1.240832,0.024575,-0.02246,-0.295821,0.954663,73.169807,0.000013,0.000015,-0.036559,-0.128597,-0.004744,0.991012,359.046936,0.000052,0,-0.022773,0.097345,0.152683,0.983205,176.001999,0.000007,0.000015,-0.366786,0.264216,-0.109156,-0.885293,18.601906,-21.138517,29.593903,0,-0.202082,0.202082,-0.958293,28.095396,0.000004,-0.000003,0,0,0,1,24.0133,-0.000002,-0.000012,0.156434,-0.000153,-0.000277,0.987688,76.098572,0.000017,29.593889,0,0,-0.00025,1,42.277012,0.000003,0.000009,0,0,-0.00025,1,21.138483,0.000022,-0.000004,0,-0.000097,-0.00025,1,76.098602,-0.00002,9.808261,0,0,-0.00025,1,46.504665,0.00002,0.000007,0,0,-0.00025,1,25.366213,-0.000008,-0.000007,0,0.000065,-0.00025,1,71.87088,0.000033,-9.808253,0,0,-0.00025,1,42.277008,-0.000025,0.000015,0,0,-0.00025,1,21.138504,-0.000015,0.000009,-0.156434,0.000089,-0.000267,0.987688,67.643204,0.000035,-29.59388,0,0,-0.00025,1,33.821613,-0.000013,-0.000008,0,0,-0.00025,1,16.91081,-0.000019,0.000002,0.01118,0.037666,0.173607,0.984031,-35.472584,204.161011,-1.240862,-0.003446,0.064138,0.224512,0.972352,-73.169754,0.000049,-0.000034,-0.028903,0.114465,0.003332,0.993001,-359.046906,-0.000052,-0.000045,-0.025056,-0.083742,-0.048405,0.994996,-176.001999,0.00002,-0.000037,0.366786,0.264216,-0.109156,0.885293,-18.601862,-21.138512,29.593901,0,-0.202082,0.202082,0.958293,-28.095415,-0.000008,-0.000003,0,0,0,1,-24.013277,-0.000017,0.000012,0.156434,0.000154,0.000277,0.987688,-76.098564,-0.000049,29.593874,0,0,0.00025,1,-42.276993,-0.000041,-0.000011,0,0,0.00025,1,-21.13851,0.00002,-0.000048,0,0.000097,0.00025,1,-76.098602,0.000041,9.80828,0,0,0.00025,1,-46.504677,0.000006,0.000017,0,0,0.00025,1,-25.366224,0.000013,0.000002,0,-0.000065,0.00025,1,-71.870926,0.000006,-9.808289,0,0,0.00025,1,-42.277035,0.00001,-0.000004,0,0,0.00025,1,-21.138493,-0.000024,0.000025,-0.156434,-0.000089,0.000267,0.987688,-67.643196,0.000048,-29.593918,0,0,0.00025,1,-33.821583,0.000013,0.000006,0,0,0.00025,1,-16.91081,0.000045,0.000017,-536.949829,1683.134521,-731.555908,-617.466858,1626.27832,-680.99884,-593.289673,1634.643066,-786.436951,-376.185699,1424.649658,-774.499512,-305.654572,1217.090698,-725.494263,-313.924377,1216.487061,-827.469604,-573.371948,1270.159424,-751.826843,-341.38205,1374.573486,-665.540771,-430.310059,1405.199219,-598.295837,-346.992371,1119.070679,-590.44281,-344.222382,1025.259033,-527.879089,-390.520172,859.788818,-438.472809,-481.574097,883.268616,-431.421967,-408.308563,798.386719,-394.271881,-369.27359,1384.082886,-881.62384,-469.294647,1401.370605,-934.784729,,,,-405.413727,1034.662964,-1054.935059,-507.192566,909.216614,-1152.656372,-571.644409,919.420959,-1108.180786,-515.018066,835.913635,-1175.084961,-525.966675,969.699768,-634.063721,-325.554535,961.738831,-619.156555,-317.88028,988.981995,-906.949524,-510.567474,957.015076,-903.611755
0.008,-0.003905,-0.691342,0.048331,0.720899,-409.952698,878.027283,-738.923584,-0.026806,0.008158,0.000219,0.999607,-0.000007,77.171211,-0.000012,0.061073,0.008803,-0.011239,0.998031,0.000033,225.710663,-0.000002,0.122361,0.13054,-0.061674,0.981929,0.000009,238.25795,-0.000006,0.058272,0.126936,-0.030458,0.989729,0.000008,136.890854,17.800823,0.048578,-0.07016,-0.227494,0.970033,35.472591,204.160995,-1.240837,0.045062,-0.039557,-0.340046,0.938495,73.169785,-0.000022,0.000015,-0.075117,-0.146597,-0.011165,0.986277,359.046967,0.000007,-0.000015,-0.0608,0.076554,0.096064,0.990563,176.001953,-0.000007,-0.000015,-0.366849,0.264398,-0.108946,-0.885238,18.6019,-21.1385,29.593887,0,-0.202082,0.202082,-0.958293,28.095417,-0.000001,0.000007,0,0,0,1,24.013292,-0.00001,-0.000005,0.156434,-0.000307,-0.000553,0.987688,76.098602,-0.000015,29.593895,0,0,-0.000498,1,42.277012,-0.000003,0.000015,0,0,-0.000498,1,21.138472,0.000006,-0.000004,0,-0.000195,-0.000498,1,76.098579,0.000019,9.808257,0,0,-0.000498,1,46.504677,0.000008,0.000013,0,0,-0.000498,1,25.366199,-0.000012,0.000002,0,0.00013,-0.000498,1,71.870888,0.000004,-9.808263,0,0,-0.000498,1,42.276985,0.000008,0.000009,0,0,-0.000498,1,21.138481,0.000018,-0.000012,-0.156434,0.000179,-0.000533,0.987688,67.643196,-0.000016,-29.593893,0,0,-0.000498,1,33.821594,-0.000013,-0.000003,0,0,-0.000498,1,16.91078,0,-0.000005,0.036245,0.048153,0.18616,0.980669,-35.472572,204.160934,-1.240846,0.028679,0.073769,0.270903,0.959347,-73.169785,-0.00003,0,-0.030635,0.151483,0.004697,0.987974,-359.046997,-0.000052,0.000075,-0.027082,-0.076951,-0.041357,0.995809,-176.002029,0.000026,-0.000015,0.366849,0.264398,-0.108946,0.885238,-18.601902,-21.138538,29.593937,0,-0.202082,0.202082,0.958293,-28.095398,-0.000018,0.000019,0,0,0,1,-24.013332,-0.000017,-0.000036,0.156434,0.000307,0.000553,0.987688,-76.098625,0.000038,29.593872,0,0,0.000498,1,-42.277042,0.000011,-0.000022,0,0,0.000498,1,-21.138483,-0.000032,0.00003,0,0.000195,0.000498,1,-76.098625,0.000014,9.808282,0,0,0.000498,1,-46.504711,-0.000001,-0.00002,0,0,0.000498,1,-25.366173,-0.000043,-0.000004,0,-0.00013,0.000498,1,-71.87088,0.000007,-9.808257,0,0,0.000498,1,-42.277042,0.000026,-0.000033,0,0,0.000498,1,-21.138506,0.000017,0.000019,-0.156434,-0.000179,0.000533,0.987688,-67.643173,-0.000061,-29.593891,0,0,0.000498,1,-33.821564,-0.000034,-0.000002,0,0,0.000498,1,-16.910814,-0.000026,-0.000007,-540.151611,1683.017334,-731.086731,-619.427551,1626.806519,-678.172241,-598.186401,1634.669556,-784.10321,-381.115845,1424.09729,-775.456299,-309.819031,1216.731934,-727.282532,-319.354736,1216.0802,-829.196106,-578.149963,1269.938232,-750.447815,-344.87384,1374.269531,-667.383057,-433.619507,1404.758423,-599.675476,-349.306396,1119.050537,-591.754639,-345.26828,1025.281738,-529.117798,-389.590607,859.89209,-438.638214,-480.582001,883.151123,-429.822083,-406.254059,798.558167,-394.017914,-375.479279,1383.695068,-882.708191,-476.121796,1400.94165,-934.644897,,,,-415.12915,1034.414062,-1055.495605,-517.481079,909.684998,-1153.452637,-581.211426,919.529114,-1107.972168,-525.652588,836.448486,-1176.19519,-529.335999,969.031799,-633.345642,-328.81012,961.485291,-620.647949,-324.117401,989.046631,-908.34137,-516.97052,956.973145,-902.879883
0.017,0.000719,-0.708498,0.030433,0.705056,-426.254974,884.26886,-750.40802,-0.043507,0.025577,0.001114,0.998725,-0.000032,72.72155,0.000002,0.079291,0.02565,-0.003665,0.996515,-0.00004,221.261093,-0.000008,0.141655,0.159769,-0.029304,0.976499,0.000018,240.383255,-0.000002,0.040099,0.160766,-0.014997,0.986064,-0.000034,139.016266,17.800783,0.054499,-0.091942,-0.188464,0.976247,35.472622,204.160965,-1.240847,0.075312,-0.04943,-0.369107,0.925011,73.169739,0.000028,0.000004,-0.123678,-0.139422,-0.017554,0.982322,359.047028,-0.000022,-0.000022,-0.107361,0.054133,0.042575,0.991832,176.001938,-0.000019,0.000011,-0.366962,0.264725,-0.108568,-0.88514,18.601906,-21.138498,29.593872,0,-0.202082,0.202082,-0.958293,28.095411,-0.000026,-0.00001,0,0,0,1,24.013283,-0.000002,0.00001,0.156433,-0.000583,-0.001047,0.987688,76.098587,-0.000002,29.593897,0,0,-0.000943,1,42.276981,-0.000013,-0.000016,0,0,-0.000943,1,21.138496,-0.000004,-0.000015,0,-0.00037,-0.000943,1,76.098602,-0.00002,9.808255,0,0,-0.000943,1,46.5047,-0.000002,-0.000024,0,0,-0.000943,1,25.366228,0.000002,-0.000004,0,0.000246,-0.000943,1,71.87088,0.000021,-9.808276,0,0,-0.000943,1,42.276985,0.000004,0.000007,0,0,-0.000943,1,21.138496,-0.000015,-0.000002,-0.156433,0.000339,-0.001009,0.987688,67.643211,0,-29.593904,0,0,-0.000943,1,33.821613,0.000017,-0.000011,0,0,-0.000943,1,16.910786,0.00002,-0.000009,0.056353,0.060929,0.163983,0.982966,-35.472584,204.161041,-1.240846,0.061372,0.081484,0.294813,0.950094,-73.169746,0.000046,-0.000019,-0.024584,0.179311,0.004482,0.983475,-359.046936,-0.000063,0.00003,-0.021081,-0.062701,-0.030381,0.997347,-176.001999,-0.000013,0.000007,0.366961,0.264725,-0.108568,0.88514,-18.601917,-21.138508,29.593908,0,-0.202082,0.202082,0.958293,-28.0954,-0.000031,0.000031,0,0,0,1,-24.013288,-0.000016,-0.000013,0.156433,0.000583,0.001047,0.987688,-76.098579,-0.000044,29.59392,0,0,0.000943,1,-42.276981,-0.000012,0.000049,0,0,0.000943,1,-21.13847,-0.000021,-0.000007,0,0.00037,0.000943,1,-76.098595,0.00001,9.80827,0,0,0.000943,1,-46.504681,-0.000055,0.000007,0,0,0.000943,1,-25.366175,-0.000034,0.000034,0,-0.000247,0.000943,1,-71.870903,0.000021,-9.808292,0,0,0.000943,1,-42.277004,-0.000049,0.000018,0,0,0.000943,1,-21.1385,-0.000001,0.000029,-0.156434,-0.000339,0.001009,0.987688,-67.643196,-0.000052,-29.593901,0,0,0.000943,1,-33.821609,-0.000033,-0.00001,0,0,0.000943,1,-16.910788,-0.000026,-0.000006,-543.325806,1682.912476,-730.528992,-621.219727,1627.413086,-675.128113,-603.040527,1634.588867,-781.649658,-385.996704,1423.729126,-776.489563,-314.272888,1216.368774,-728.91925,-324.941162,1215.577026,-830.560913,-582.745056,1269.262329,-748.832275,-348.50235,1373.913208,-668.862427,-436.612091,1404.216675,-600.62793,-351.674591,1119.061401,-592.991943,-346.512299,1025.348145,-530.242065,-388.684479,859.980591,-438.882935,-479.641052,882.955627,-428.324524,-404.383636,798.677002,-393.870605,-381.592346,1383.043945,-883.660645,-482.912872,1400.490112,-934.390076,,,,-425.025055,1033.742554,-1055.585815,-527.554138,909.968262,-1153.848999,-590.520508,919.372925,-1107.406738,-535.965332,836.858154,-1177.001343,-532.684753,968.415955,-632.364929,-332.071991,961.207153,-622.028381,-330.599762,989.126709,-909.503906,-522.699036,956.953735,-901.776611
0.025,0.003691,-0.716942,0.020247,0.696829,-436.887482,881.425171,-756.045532,-0.054134,0.039989,0.00217,0.99773,0.000024,72.40947,0.000009,0.092691,0.038992,0.005816,0.994914,-0.000013,220.948929,0.000004,0.156159,0.179475,-0.015627,0.971164,0.000006,242.564056,0.000025,0.021032,0.184083,-0.017839,0.982524,-0.000048,141.197144,17.800797,0.050325,-0.10931,-0.146251,0.981901,35.472614,204.161072,-1.240858,0.099613,-0.064811,-0.403444,0.907254,73.169777,0.000007,0.000004,-0.16527,-0.121727,-0.02056,0.978492,359.046906,-0.000015,-0.000007,-0.145557,0.029692,-0.007304,0.988877,176.002045,0.000007,-0.00003,-0.367114,0.265168,-0.108057,-0.885007,18.601887,-21.138498,29.593927,0,-0.202082,0.202082,-0.958293,28.095379,0.000002,0.000007,0,0,0,1,24.013277,0.000027,0,0.156432,-0.000957,-0.001713,0.987687,76.09861,0.000006,29.593918,0,0,-0.001542,0.999999,42.277035,0.000001,-0.00001,0,0,-0.001542,0.999999,21.138493,0.000008,0.000002,-0.000001,-0.000607,-0.001542,0.999999,76.098595,0,9.808272,0,0,-0.001542,0.999999,46.504715,-0.000009,-0.00002,0,0,-0.001542,0.999999,25.366203,0,0,0.000001,0.000404,-0.001542,0.999999,71.87088,-0.000002,-9.808276,0,0,-0.001542,0.999999,42.276981,-0.000008,-0.000014,0,0,-0.001542,0.999999,21.138508,0.000007,0.000012,-0.156433,0.000558,-0.00165,0.987687,67.643196,0.000014,-29.593914,0,0,-0.001542,0.999999,33.821609,-0.000005,0.000004,0,0,-0.001542,0.999999,16.910782,0.000004,-0.000006,0.065344,0.063925,0.136575,0.986403,-35.472595,204.160965,-1.240831,0.085077,0.088332,0.315471,0.940977,-73.169792,-0.000029,0.000015,-0.026209,0.185361,0.004946,0.982308,-359.047058,0.00006,-0.000007,-0.022253,-0.052673,-0.012386,0.998287,-176.002045,0.000048,0.000015,0.367114,0.265168,-0.108057,0.885007,-18.601875,-21.138527,29.593958,0,-0.202082,0.202082,0.958293,-28.095417,-0.000027,0.000052,0,0,0,1,-24.013304,0.000029,0.000014,0.156432,0.000957,0.001713,0.987687,-76.098595,0.000008,29.593925,0,0,0.001542,0.999999,-42.277039,0.000029,-0.000018,0,0,0.001542,0.999999,-21.1385,0.000016,-0.000006,-0.000001,0.000607,0.001542,0.999999,-76.098648,0.000022,9.808261,0,0,0.001542,0.999999,-46.504692,-0.000012,0.000026,0,0,0.001542,0.999999,-25.366188,-0.000027,0.000028,0.000001,-0.000404,0.001542,0.999999,-71.870911,-0.000019,-9.808233,0,0,0.001542,0.999999,-42.277031,0.000015,-0.000006,0,0,0.001542,0.999999,-21.1385,0.000034,-0.000027,-0.156433,-0.000558,0.00165,0.987687,-67.643219,-0.000006,-29.593901,0,0,0.001542,0.999999,-33.82159,-0.000032,0.000022,0,0,0.001542,0.999999,-16.910803,-0.000012,-0.000017,-546.090576,1682.699341,-729.889648,-622.942993,1628.027466,-671.880127,-607.877441,1634.560059,-778.916443,-390.964905,1423.302246,-777.421753,-319.100281,1215.624146,-730.152161,-330.651123,1214.995239,-831.737549,-587.593201,1269.138062,-747.253052,-352.380951,1373.418823,-669.996765,-439.026642,1403.950684,-599.097839,-354.011932,1118.960693,-594.299988,-347.704407,1025.305786,-531.31488,-388.05365,859.946228,-439.143402,-478.789246,882.619934,-426.971344,-402.73645,798.644958,-393.828735,-387.67923,1382.58252,-884.532288,-489.699402,1400.00769,-933.989014,,,,-434.00116,1033.264526,-1056.581543,-537.458435,910.096619,-1153.902832,-599.802063,919.015076,-1106.616577,-546.067139,837.057434,-1177.453857,-536.124084,967.876221,-631.188477,-335.334839,960.852295,-623.244568,-337.101166,988.988647,-910.721436,-529.512329,955.728699,-901.488281
0.033,0.005765,-0.717664,0.016951,0.696159,-442.661865,878.876526,-756.913696,-0.058733,0.047981,0.002826,0.997116,-0.000016,72.273041,0.000002,0.099198,0.046084,0.012845,0.993917,0.000012,220.812531,0.000018,0.165538,0.183089,-0.011268,0.968993,0.000019,243.775879,0.000018,0.000231,0.18913,-0.033066,0.981395,0.000028,142.408752,17.800875,0.038728,-0.118375,-0.108385,0.986276,35.472633,204.160934,-1.24084,0.117906,-0.082441,-0.439885,0.886456,73.1698,0.000005,-0.000011,-0.190092,-0.095888,-0.018659,0.976894,359.046844,-0.000015,-0.000045,-0.166076,0.008474,-0.042674,0.985153,176.001938,-0.000004,0.00003,-0.367299,0.265702,-0.10744,-0.884845,18.601875,-21.138485,29.593925,0,-0.202082,0.202082,-0.958293,28.095375,0.000014,-0.000004,0,0,0,1,24.013313,-0.000027,-0.000007,0.156429,-0.001409,-0.002513,0.987685,76.098564,-0.000015,29.593904,0,0,-0.002261,0.999997,42.27697,-0.000007,0.000011,0,0,-0.002261,0.999997,21.138474,-0.000011,0.000002,-0.000002,-0.000892,-0.002261,0.999997,76.098557,-0.000012,9.808287,0,0,-0.002261,0.999997,46.504684,0.000001,0.000004,0,0,-0.002261,0.999997,25.366175,0.000002,-0.000006,0.000001,0.000595,-0.002261,0.999997,71.870865,-0.000007,-9.808256,0,0,-0.002261,0.999997,42.276947,-0.000012,0.000015,0,0,-0.002261,0.999997,21.138508,-0.000001,-0.000013,-0.156431,0.000822,-0.00242,0.987686,67.643181,-0.000018,-29.59391,0,0,-0.002261,0.999997,33.821568,0.000008,0.000013,0,0,-0.002261,0.999997,16.910769,0.000013,0.000011,0.062096,0.057133,0.110669,0.990269,-35.472588,204.16098,-1.240846,0.097164,0.097553,0.334933,0.932128,-73.169815,-0.000028,-0.000007,-0.031127,0.177915,0.005631,0.983537,-359.046967,-0.000048,0.000022,-0.026532,-0.04633,0.006049,0.998555,-176.001984,0.000023,-0.00003,0.367299,0.265702,-0.10744,0.884845,-18.601927,-21.138462,29.59387,0,-0.202082,0.202082,0.958293,-28.095409,0.000019,-0.000027,0,0,0,1,-24.013292,-0.000005,-0.000033,0.156429,0.001409,0.002512,0.987685,-76.098549,-0.000034,29.593925,0,0,0.002261,0.999997,-42.277008,-0.000036,0.000049,0,0,0.002261,0.999997,-21.138491,-0.000025,0.000001,-0.000002,0.000892,0.002261,0.999997,-76.098595,-0.000024,9.80831,0,0,0.002261,0.999997,-46.504681,0.000033,-0.000007,0,0,0.002261,0.999997,-25.366198,0.000047,-0.000007,0.000001,-0.000595,0.002261,0.999997,-71.87088,0,-9.808272,0,0,0.002261,0.999997,-42.276955,-0.000037,-0.000004,0,0,0.002261,0.999997,-21.138474,-0.000027,0.000023,-0.156431,-0.000822,0.002419,0.987686,-67.643173,0.000023,-29.593893,0,0,0.002261,0.999997,-33.821613,-0.000013,-0.000018,0,0,0.002261,0.999997,-16.910814,-0.000003,0.000012,-548.887024,1682.424072,-729.225708,-624.201843,1628.64502,-668.612671,-612.612854,1634.495361,-776.077515,-396.108643,1422.869263,-777.998596,-323.646881,1215.16333,-731.469116,-336.354492,1214.400024,-833.077515,-592.28894,1268.632935,-745.462158,-356.199768,1373.068481,-671.025818,-442.003754,1403.698242,-599.156006,-356.695099,1118.809448,-595.218872,-349.065765,1025.097656,-532.277466,-387.568573,859.851135,-439.385529,-478.105652,882.379089,-425.709686,-401.188965,798.572937,-393.930328,-393.849854,1381.889404,-885.093201,-496.645569,1399.447388,-933.346069,,,,-442.795502,1032.915771,-1056.694214,-547.112427,909.879639,-1153.684448,-608.772949,918.755493,-1105.571899,-555.858765,837.180786,-1177.441895,-539.737732,966.815002,-629.966003,-338.781464,960.334106,-624.437683,-343.59314,988.900879,-912.006409,-535.819153,955.28772,-900.525696
0.042,0.007367,-0.7133,0.017732,0.700596,-446.002106,877.659607,-756.112427,-0.059671,0.050508,0.003023,0.996935,-0.000017,71.565826,0.000009,0.100849,0.048276,0.015433,0.99361,-0.000048,220.105316,-0.000019,0.171915,0.177492,-0.009715,0.968942,-0.000027,244.565292,0.000021,-0.020838,0.183102,-0.054305,0.981372,-0.000002,143.198318,17.800793,0.023901,-0.118813,-0.07578,0.989732,35.472633,204.161011,-1.240854,0.133034,-0.099875,-0.472432,0.865526,73.169838,-0.000054,-0.000022,-0.198107,-0.067964,-0.013771,0.977724,359.047089,-0.000022,-0.00003,-0.169714,-0.010272,-0.063499,0.983392,176.001999,0.000019,0.000004,-0.367509,0.266309,-0.10674,-0.88466,18.601925,-21.138496,29.593908,0,-0.202082,0.202082,-0.958293,28.095392,-0.000004,-0.000005,0,0,0,1,24.013308,0.000004,0.000009,0.156425,-0.001924,-0.003415,0.987682,76.098618,0.000009,29.593893,0,0,-0.003072,0.999995,42.277012,-0.00001,0.000007,0,0,-0.003072,0.999995,21.138508,-0.000016,-0.000012,-0.000004,-0.001217,-0.003072,0.999995,76.098587,0.000019,9.808282,0,0,-0.003072,0.999995,46.504723,-0.000005,-0.000009,0,0,-0.003072,0.999995,25.36622,-0.000011,0,0.000003,0.000811,-0.003072,0.999995,71.870903,0,-9.808275,0,0,-0.003072,0.999995,42.277012,0.000003,-0.000011,0,0,-0.003072,0.999995,21.138514,0.00001,-0.000006,-0.156428,0.001122,-0.003288,0.987683,67.643227,0.000003,-29.593893,0,0,-0.003072,0.999995,33.821609,0.000005,0.000013,0,0,-0.003072,0.999995,16.910818,0.000001,0.000011,0.052761,0.044179,0.088275,0.993716,-35.47261,204.160995,-1.240851,0.102288,0.108699,0.353874,0.923306,-73.169785,0.000004,-0.000004,-0.034547,0.165292,0.005794,0.985623,-359.046936,-0.000015,-0.000045,-0.029379,-0.042207,0.02056,0.998465,-176.001968,0.000031,-0.000034,0.367509,0.266309,-0.10674,0.88466,-18.601883,-21.138542,29.593899,0,-0.202082,0.202082,0.958293,-28.095394,0.000024,0.000016,0,0,0,1,-24.013277,-0.000019,0.000043,0.156426,0.001924,0.003415,0.987682,-76.09861,0.000035,29.593866,0,0,0.003072,0.999995,-42.277012,0.000001,0.000027,0,0,0.003072,0.999995,-21.138529,0,-0.000065,-0.000004,0.001217,0.003072,0.999995,-76.098572,0.000019,9.80828,0,0,0.003072,0.999995,-46.504726,0.000028,-0.000007,0,0,0.003072,0.999995,-25.366194,0.000039,-0.000024,0.000002,-0.000811,0.003072,0.999995,-71.870895,-0.000036,-9.808255,0,0,0.003072,0.999995,-42.276993,0.000035,-0.000045,0,0,0.003072,0.999995,-21.138491,0.000054,0,-0.156428,-0.001122,0.003288,0.987683,-67.643181,0.000016,-29.593941,0,0,0.003072,0.999995,-33.821568,-0.000034,-0.000004,0,0,0.003072,0.999995,-16.910822,0.000051,-0.000011,-551.741882,1682.179321,-728.506653,-625.540222,1629.168457,-665.432983,-617.123657,1634.360474,-773.240417,-401.135071,1422.115601,-778.101074,-328.039459,1214.751953,-732.903809,-342.177917,1213.813965,-834.000916,-596.70813,1267.946167,-743.646851,-360.130493,1372.652222,-671.906616,-445.061493,1403.186279,-599.102173,-359.063965,1118.644775,-596.2547,-350.72995,1024.813599,-533.27655,-387.209595,859.6875,-439.677094,-477.591797,881.972839,-424.629486,-399.954468,798.361572,-393.949463,-400.242065,1381.428711,-885.587158,-503.548157,1398.918701,-932.639465,,,,-451.089905,1032.435425,-1057.03125,-556.676697,909.572266,-1152.943848,-617.634705,918.155762,-1104.011475,-565.523804,837.113892,-1177.110718,-543.09314,965.923279,-629.134033,-342.156586,959.699829,-625.433655,-349.560242,988.92041,-913.736145,-542.581543,954.833679,-899.703308
