1.23,,,,,,,,,
,,,,,,,,,
Type,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker
Name,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LWristOut,Sammy:LWristOut,Sammy:LWristOut
ID,10,10,10,12,12,12,15,15,15
,Position,Position,Position,Position,Position,Position,Position,Position,Position
Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,186.204102,1403.167114,-88.841103,305.55307,1099.274292,-142.943802,221.976944,931.199402,34.952641
0.008,186.121536,1403.155518,-88.885498,305.481171,1099.272095,-142.969681,221.92276,931.177734,34.914867
0.017,186.037277,1403.144531,-88.909538,305.411987,1099.269531,-143.004654,221.870529,931.162598,34.851929
0.025,185.94548,1403.131958,-88.94857,305.339233,1099.257446,-143.021271,221.813309,931.130981,34.819702
0.033,185.869171,1403.137573,-88.9758,305.266785,1099.264404,-143.048737,221.782623,931.122375,34.776237
0.042,185.782242,1403.132202,-89.00293,305.199677,1099.265869,-143.071472,221.731995,931.104309,34.749332
0.05,185.697128,1403.131592,-89.03286,305.118439,1099.271362,-143.092819,221.6884,931.067383,34.720276
0.058,185.625259,1403.130005,-89.086449,305.062714,1099.284424,-143.109802,221.65657,931.039307,34.673317
0.067,185.540314,1403.124023,-89.091492,305.003571,1099.295288,-143.130234,221.607269,931.022217,34.646358
0.075,185.476517,1403.132812,-89.10701,304.96106,1099.325317,-143.146576,221.56723,931.033752,34.619591
0.083,185.391495,1403.134033,-89.123474,304.918518,1099.318726,-143.136444,221.513794,931.018738,34.599186
0.092,185.289429,1403.130127,-89.138153,304.881042,1099.332153,-143.141373,221.464813,931.005005,34.585114
0.1,185.181229,1403.120605,-89.142769,304.828705,1099.342285,-143.151688,221.433685,931.030579,34.566628
0.108,185.096436,1403.115356,-89.163208,304.787659,1099.358643,-143.158661,221.390686,931.025696,34.570316
0.117,184.989944,1403.111816,-89.184662,304.748901,1099.371216,-143.146698,221.337143,931.039185,34.563595
0.125,184.899307,1403.104492,-89.195686,304.714081,1099.395142,-143.144775,221.312241,931.041077,34.577427
0.133,184.819107,1403.096313,-89.238525,304.685577,1099.421631,-143.14595,221.282883,931.053101,34.577221
0.142,184.723984,1403.101318,-89.247467,304.66156,1099.439819,-143.143097,221.247574,931.054443,34.585941
0.15,184.633316,1403.102417,-89.28347,304.618988,1099.458862,-143.131531,221.22876,931.063293,34.589111
