1.23,,,,,,,,,
,,,,,,,,,
Type,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker
Name,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LWristOut,Sammy:LWristOut,Sammy:LWristOut
ID,10,10,10,12,12,12,15,15,15
,Position,Position,Position,Position,Position,Position,Position,Position,Position
Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0.458,223.240601,1412.623047,-53.078888,325.19281,1093.617188,-130.753342,237.364273,953.904846,67.042793
0.467,223.239761,1412.620361,-53.101212,325.197571,1093.612549,-130.808853,237.402405,953.879944,66.971062
0.475,223.249603,1412.594604,-53.112823,325.199432,1093.606567,-130.863968,237.425781,953.832336,66.888603
0.483,223.227051,1412.567627,-53.121567,325.209595,1093.604492,-130.908798,237.105011,954.030029,66.830345
0.492,223.196991,1412.51709,-53.157135,325.199036,1093.587036,-130.968811,237.437271,953.794067,66.777435
0.5,223.194092,1412.515991,-53.148479,325.195221,1093.585327,-131.01683,237.190033,953.959778,66.711044
0.508,223.164246,1412.457397,-53.172142,325.186188,1093.570557,-131.074036,237.14325,953.94397,66.654022
0.517,223.157959,1412.432861,-53.193817,325.175476,1093.534058,-131.131775,237.174545,953.905212,66.611557
0.525,223.14328,1412.400513,-53.210312,325.156219,1093.518311,-131.177078,237.210693,953.850464,66.565308
0.533,223.148773,1412.376465,-53.233879,325.146118,1093.492432,-131.243088,237.212372,953.779968,66.523262
0.542,223.136703,1412.346069,-53.256798,325.125793,1093.466064,-131.305557,237.238724,953.730225,66.485916
0.55,223.142792,1412.329102,-53.27932,325.101044,1093.437256,-131.350067,237.295013,953.674561,66.419281
0.558,223.138367,1412.292847,-53.327526,325.066772,1093.402466,-131.386826,237.301697,953.611694,66.372002
0.567,223.126465,1412.262329,-53.365742,325.0448,1093.370972,-131.438232,237.336182,953.589783,66.301056
0.575,223.120758,1412.235474,-53.389679,325.029022,1093.352539,-131.469833,237.341721,953.523865,66.275917
0.583,223.116272,1412.220337,-53.417137,325.003967,1093.334839,-131.493423,237.344147,953.493347,66.244148
0.592,223.089661,1412.19873,-53.424294,324.99118,1093.313477,-131.526337,237.333832,953.409302,66.212265
0.6,223.09108,1412.173828,-53.429451,324.965668,1093.290405,-131.551331,237.350784,953.370911,66.174393
0.608,223.074646,1412.152588,-53.437279,324.952637,1093.288696,-131.575119,237.374542,953.325073,66.14502
0.617,223.055588,1412.139282,-53.444759,324.933594,1093.270142,-131.597107,237.412003,953.288635,66.12558
0.625,223.043533,1412.114136,-53.436745,324.919312,1093.273071,-131.621368,237.652634,952.890625,66.08918
0.633,223.031631,1412.095703,-53.423954,324.911285,1093.261597,-131.641312,237.626892,952.813721,66.055222
0.642,223.012161,1412.082031,-53.426517,324.902771,1093.26062,-131.660721,237.648956,952.786499,66.022568
0.65,222.989929,1412.06604,-53.410954,324.88559,1093.26062,-131.683548,237.635422,952.772766,65.98172
0.658,222.974258,1412.047241,-53.398857,324.884644,1093.271484,-131.701569,237.640228,952.725647,65.942177
0.667,222.951569,1412.03772,-53.387264,324.889038,1093.266235,-131.734329,237.650452,952.683838,65.9095
0.675,222.939117,1412.04126,-53.369572,324.851257,1093.263306,-131.767014,237.654266,952.683411,65.860146
0.683,222.924988,1412.033813,-53.339615,324.849731,1093.268555,-131.78862,237.660461,952.657959,65.822922
0.692,222.910934,1412.015625,-53.313438,324.840607,1093.269287,-131.807907,237.678574,952.645386,65.771423
0.7,222.884979,1412.004883,-53.288536,324.844849,1093.276978,-131.840118,237.703659,952.605652,65.738792
0.708,222.850479,1411.977661,-53.243176,324.86026,1093.287964,-131.875031,237.731171,952.587708,65.728004
0.717,222.83429,1411.964844,-53.203793,324.892365,1093.320312,-131.867111,237.787949,952.595703,65.675079
0.725,222.802124,1411.942627,-53.161308,324.888367,1093.314331,-131.906815,237.848053,952.584167,65.640678
0.733,222.770981,1411.924805,-53.103912,324.890808,1093.327026,-131.927597,237.871796,952.58606,65.609558
0.742,222.758423,1411.910034,-53.074844,324.927673,1093.345947,-131.927582,237.923798,952.582886,65.565773
0.75,222.740265,1411.896118,-53.044495,324.937531,1093.350708,-131.950699,237.984146,952.586975,65.557289
0.758,222.729919,1411.893799,-53.022232,324.950531,1093.377075,-131.967743,238.014862,952.583557,65.550072
0.767,222.70076,1411.891235,-52.996803,324.966705,1093.38562,-131.979218,238.050842,952.595337,65.538773
0.775,222.683548,1411.87439,-52.972393,324.967438,1093.402832,-131.983688,238.09726,952.594421,65.538895
0.783,222.640091,1411.867554,-52.959686,324.980957,1093.408936,-131.989212,238.133301,952.591614,65.536232
0.792,222.602234,1411.865112,-52.942062,324.984497,1093.412109,-132.004044,238.169525,952.602783,65.526962
0.8,222.577682,1411.852661,-52.922565,324.985199,1093.426025,-132.008255,238.176651,952.626221,65.5271
0.808,222.535934,1411.819824,-52.879227,324.995605,1093.439819,-132.013596,238.181686,952.627136,65.534386
0.817,222.518692,1411.834961,-52.876804,324.993011,1093.440918,-132.014771,238.189987,952.610352,65.548141
0.825,222.463654,1411.790527,-52.832077,324.994537,1093.443726,-132.022247,238.200653,952.625366,65.536522
0.833,222.426926,1411.796021,-52.830074,324.994904,1093.458374,-132.034012,238.202591,952.617004,65.526611
0.842,222.388397,1411.781494,-52.817631,324.983917,1093.46814,-132.039139,238.225494,952.621765,65.533226
0.85,222.365906,1411.787231,-52.801033,324.977997,1093.462646,-132.03894,238.215256,952.656128,65.542282
0.858,222.343079,1411.786865,-52.799061,324.9534,1093.483154,-132.058762,238.249207,952.680054,65.530235
0.867,222.311661,1411.782104,-52.781498,324.92215,1093.466675,-132.078323,238.24054,952.63855,65.525574
0.875,222.280838,1411.768066,-52.769951,324.901917,1093.479858,-132.088364,238.265839,952.648071,65.515289
0.883,222.259964,1411.76709,-52.746056,324.860229,1093.491699,-132.086899,238.280991,952.65271,65.515076
0.892,222.220367,1411.75708,-52.717018,324.81601,1093.496094,-132.101196,238.284821,952.649353,65.518616
0.9,222.194565,1411.763306,-52.691471,324.798187,1093.505981,-132.115189,238.273254,952.644592,65.497993
0.908,222.160339,1411.760742,-52.653725,324.777893,1093.512939,-132.116776,238.289627,952.628967,65.51001
0.917,222.125488,1411.749878,-52.612267,324.754791,1093.526123,-132.126495,238.288254,952.663452,65.509293
0.925,222.09613,1411.745117,-52.588108,324.73114,1093.537109,-132.13475,238.305954,952.666687,65.504799
0.933,222.078003,1411.728027,-52.542103,324.69754,1093.530151,-132.154022,238.305847,952.659546,65.491898
0.942,222.042694,1411.725342,-52.494862,324.672943,1093.541016,-132.153473,238.330322,952.639893,65.496269
0.95,222.016312,1411.733643,-52.450207,324.656921,1093.555054,-132.153046,238.325943,952.666504,65.491821
0.958,222.006149,1411.735107,-52.406246,324.63736,1093.572144,-132.152466,238.330704,952.658752,65.49707
0.967,221.9505,1411.726196,-52.295422,324.626923,1093.584229,-132.152481,238.337204,952.675049,65.488281
0.975,221.914291,1411.709229,-52.247536,324.607758,1093.60144,-132.14476,238.34314,952.664307,65.482109
0.983,221.87561,1411.713989,-52.155926,324.608337,1093.626221,-132.152893,238.330963,952.662109,65.495735
0.992,221.854218,1411.71875,-52.101704,324.595703,1093.643799,-132.13855,238.32785,952.685181,65.499153
1,221.832428,1411.730469,-52.043533,324.580505,1093.658936,-132.119247,238.340088,952.684265,65.497719
1.008,221.79985,1411.731445,-51.989807,324.568542,1093.674438,-132.118408,238.343979,952.667297,65.48867
1.017,221.754471,1411.732666,-51.917526,324.571472,1093.694824,-132.108795,238.369064,952.692749,65.499626
1.025,221.724762,1411.739136,-51.847271,324.574768,1093.738403,-132.108032,238.362152,952.713806,65.511162
1.033,221.705353,1411.744507,-51.790287,324.571869,1093.755493,-132.085052,238.381882,952.737671,65.531487
1.042,221.69899,1411.761353,-51.719917,324.576172,1093.792114,-132.086777,238.387329,952.728699,65.548607
1.05,221.681091,1411.766357,-51.640537,324.584625,1093.805176,-132.091614,238.388321,952.714539,65.554771
1.058,221.658432,1411.755737,-51.5606,324.590546,1093.830444,-132.115463,238.418411,952.763184,65.568306
1.067,221.633499,1411.731567,-51.474918,324.603394,1093.858765,-132.131378,238.423218,952.808472,65.587791
1.075,221.608719,1411.716797,-51.373863,324.62204,1093.880371,-132.137207,238.477066,952.825195,65.606232
1.083,221.596359,1411.72229,-51.275547,324.63382,1093.90332,-132.164154,238.535233,952.842285,65.637924
1.092,221.583374,1411.711426,-51.168255,324.648468,1093.923584,-132.200226,238.564163,952.85321,65.682503
1.1,221.575867,1411.69519,-51.039768,324.667633,1093.949585,-132.248459,238.622421,952.908875,65.68557
1.108,221.556702,1411.685913,-50.895176,324.701019,1093.986572,-132.308823,238.669693,952.977234,65.722206
1.117,221.541199,1411.662842,-50.759602,324.753326,1094.031982,-132.393372,238.730194,953.083862,65.74012
1.125,221.536713,1411.630615,-50.607086,324.814667,1094.093872,-132.497269,238.799835,953.201721,65.778175
1.133,221.529282,1411.630249,-50.406261,324.884491,1094.152222,-132.588623,238.856506,953.337036,65.837074
1.142,221.538422,1411.625977,-50.198086,324.942017,1094.220947,-132.696884,238.823608,953.789124,65.952148
1.15,221.555481,1411.63269,-50.011189,325.001404,1094.297241,-132.825302,238.86763,954.153687,66.052391
1.158,221.564926,1411.628052,-49.82914,325.061401,1094.390259,-132.955124,238.922974,954.39624,66.174744
1.167,221.585251,1411.638916,-49.651054,325.142731,1094.475708,-133.044769,238.918854,954.617798,66.267532
1.175,221.594498,1411.639893,-49.455166,325.255371,1094.585938,-133.11673,238.921616,954.829468,66.349014
1.183,221.60733,1411.664795,-49.265556,325.382202,1094.677612,-133.157349,239.05864,955.11322,66.447327
1.192,221.602982,1411.674561,-49.074936,325.730774,1094.922974,-133.905502,239.160767,955.385437,66.633797
1.2,221.599564,1411.669312,-48.847744,325.849762,1094.994629,-133.720657,239.25647,955.738281,66.846817
1.208,221.602798,1411.644775,-48.667782,326.114624,1095.142334,-133.793823,239.266541,956.327698,67.035431
1.217,221.608017,1411.650024,-48.467751,326.324707,1095.264404,-133.652908,239.314987,956.761292,67.28054
1.225,221.618027,1411.63916,-48.29274,326.597443,1095.372925,-133.606781,239.329208,957.112915,67.54406
1.233,221.654984,1411.626831,-48.10379,326.854523,1095.483643,-133.546234,239.376205,957.46759,67.788818
1.242,221.710266,1411.614868,-47.941837,327.126221,1095.563721,-133.449905,240.184311,957.725586,68.052017
1.25,221.797989,1411.58252,-47.772797,327.46463,1095.55249,-133.261078,240.03035,957.738953,68.423508
1.258,221.916779,1411.527832,-47.56971,327.762665,1095.580933,-133.138977,239.734833,958.09436,68.81459
1.267,222.062592,1411.482788,-47.360981,328.048523,1095.607666,-132.963409,239.876175,958.682617,69.113663
1.275,222.214798,1411.425781,-47.170807,328.285858,1095.607056,-132.919159,240.053741,959.265137,69.349197
1.283,222.388977,1411.352783,-46.979172,328.452484,1095.569092,-132.895767,240.145767,959.517273,69.658241
1.292,222.585602,1411.258911,-46.812222,328.597656,1095.509155,-132.902191,240.176514,959.67804,69.957245
1.3,222.806915,1411.13855,-46.648373,328.720276,1095.393555,-132.92392,240.291351,959.890503,70.241188
1.308,223.039734,1411.014648,-46.481148,328.836304,1095.226562,-133.062119,240.396133,960.145691,70.520226
1.317,223.293533,1410.894775,-46.357372,328.904968,1095.087036,-133.190521,240.450867,960.487366,70.798271
1.325,223.567535,1410.791992,-46.248394,328.977386,1094.953125,-133.361801,240.603256,960.884583,71.069542
1.333,223.916611,1410.633179,-46.119267,329.045441,1094.761108,-133.499588,240.77858,961.339172,71.256142
1.342,224.294327,1410.500244,-46.021282,329.062469,1094.561768,-133.678757,241.511307,961.737549,71.372658
1.35,224.701279,1410.332397,-45.94701,329.039337,1094.284546,-133.81897,241.609558,962.092407,71.536064
1.358,225.165756,1410.209595,-45.911278,328.995483,1094.065552,-133.98024,241.473999,962.372742,71.8153
1.367,225.597046,1410.095825,-45.87973,328.927277,1093.825439,-134.143997,241.290573,962.734131,72.050224
1.375,226.054794,1410.000244,-45.863995,328.833435,1093.582397,-134.342957,241.32341,963.130615,72.228668
1.383,226.50029,1409.896851,-45.852844,328.724884,1093.312744,-134.57074,241.427017,963.545715,72.430588
1.392,226.940704,1409.775635,-45.758846,328.578339,1093.012573,-134.819458,241.519531,963.988647,72.582504
1.4,227.457443,1409.643555,-45.672226,328.47818,1092.806641,-135.118301,241.623871,964.372192,72.631241
1.408,228.01532,1409.527832,-45.673668,328.426056,1092.634888,-135.384628,241.748718,964.51886,72.613571
1.417,228.548645,1409.438232,-45.774593,328.413208,1092.449829,-135.704559,241.902573,964.463257,72.547958
1.425,229.116623,1409.308472,-45.759689,328.420319,1092.229004,-136.018921,242.093292,964.37439,72.39064
1.433,229.665497,1409.14209,-45.734486,328.422333,1091.94519,-136.27652,239.16246,962.070312,77.927452
1.442,230.20871,1408.986572,-45.701805,328.507416,1091.674438,-136.565002,239.564331,961.932678,77.406479
1.45,230.849976,1408.757446,-45.712971,328.606384,1091.438232,-136.854309,242.69281,963.738159,71.8507
1.458,231.482788,1408.527832,-45.709671,328.76413,1091.142212,-137.107147,243.050446,963.150757,71.5355
1.467,232.107208,1408.296875,-45.730816,328.939178,1090.863892,-137.461395,240.76944,961.531799,75.663857
1.475,232.818619,1408.061523,-45.779995,329.049774,1090.557739,-137.828598,241.128632,961.445251,75.14254
1.483,233.486832,1407.79187,-45.787056,329.08963,1090.194336,-138.213898,243.841553,962.513489,70.714897
1.492,234.125473,1407.540894,-45.765751,329.188049,1089.877441,-138.561691,244.318497,962.00061,70.378227
1.5,234.856079,1407.24646,-45.737366,329.283722,1089.520874,-138.947708,244.655243,961.698547,70.125038
1.508,235.659073,1406.980835,-45.739098,329.394684,1089.11853,-139.349564,245.280228,961.488647,69.829117
1.517,236.312241,1406.70105,-45.644173,329.468597,1088.789062,-139.796265,245.65477,960.877625,69.451706
1.525,237.109116,1406.394653,-45.630951,329.521454,1088.454102,-140.300552,246.057053,960.487549,69.130104
1.533,237.90419,1406.026245,-45.64904,329.576416,1088.147949,-140.720093,244.055359,958.64624,72.901466
1.542,238.646912,1405.682129,-45.543903,329.532623,1087.714233,-141.138016,246.692566,959.80426,68.297348
1.55,239.389877,1405.377441,-45.484489,329.515442,1087.311401,-141.679245,247.15358,958.889587,67.778694
1.558,240.136246,1405.023926,-45.475136,329.571228,1086.937744,-142.292023,247.644104,958.310486,67.322777
1.567,241.043686,1404.633789,-45.392132,329.335663,1086.490723,-142.740005,248.015305,957.966125,66.766602
