1.23,,,,,,,,,
,,,,,,,,,
Type,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker
Name,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LWristOut,Sammy:LWristOut,Sammy:LWristOut
ID,10,10,10,12,12,12,15,15,15
,Position,Position,Position,Position,Position,Position,Position,Position,Position
Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,196.009903,1409.472168,-115.92672,302.908173,1089.883667,-174.326355,208.2052,981.53125,41.092823
0.008,195.829651,1408.926147,-116.512718,302.365356,1089.317017,-175.245605,208.479523,980.9823,40.225746
0.017,195.612839,1408.478149,-117.176102,301.744934,1088.793579,-176.295288,209.595261,980.854614,39.170391
0.025,195.447998,1408.154663,-117.703209,301.105255,1088.410034,-177.399399,209.376968,980.496582,38.203857
0.033,195.238983,1407.86438,-118.244713,300.220398,1088.044556,-178.626785,208.934784,979.886475,37.053722
0.042,195.003128,1407.689575,-118.768921,299.479279,1087.79248,-179.652969,208.489532,979.475403,35.963627
0.05,194.773499,1407.63501,-119.235405,298.490601,1087.651733,-180.880371,208.012238,979.157776,34.937538
0.058,194.506592,1407.669922,-119.653984,297.580078,1087.526978,-182.098923,207.489029,978.985352,33.675114
0.067,194.217407,1407.810913,-120.132339,296.670502,1087.631958,-183.341949,207.069717,978.94519,32.58482
0.075,193.979248,1408.012207,-120.541382,295.734406,1087.730835,-184.588379,206.534775,978.857544,31.430193
0.083,193.754318,1408.244385,-120.87735,294.854797,1087.91333,-185.82399,206.161499,978.884277,30.24032
0.092,193.543457,1408.593506,-121.284523,294.055054,1088.153564,-186.968796,205.537872,978.712463,29.00713
0.1,193.398193,1408.925171,-121.563637,293.369049,1088.493896,-188.196289,205.181381,978.678223,27.931108
0.108,193.254181,1409.241821,-121.792572,292.84079,1088.896729,-189.329025,204.529099,978.388184,27.197906
0.117,193.102432,1409.547729,-121.946938,292.355042,1089.338257,-190.419479,204.518692,978.509277,26.078295
0.125,192.985809,1409.833008,-122.089172,292.051514,1089.780029,-191.358414,204.210892,978.365906,24.979631
0.133,192.851166,1410.116821,-122.176193,291.935028,1090.253296,-192.319031,204.317047,978.422852,23.925657
0.142,192.724792,1410.359131,-122.21566,291.898712,1090.69519,-193.157532,204.54837,978.449524,23.030249
0.15,192.640625,1410.550659,-122.216232,291.964874,1091.078735,-193.799301,204.003342,977.570984,21.898365
