1.23,,,,,,,,,
,,,,,,,,,
Type,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker
Name,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LWristOut,Sammy:LWristOut,Sammy:LWristOut
ID,10,10,10,12,12,12,15,15,15
,Position,Position,Position,Position,Position,Position,Position,Position,Position
Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,206.503143,1414.367065,21.885654,279.63205,1099.798828,-75.083153,308.205322,884.716553,27.403311
0.008,206.501556,1414.413086,21.992901,279.596802,1099.832397,-75.002876,308.126495,884.737061,27.523664
0.017,206.47377,1414.458984,22.076805,279.564087,1099.852661,-74.924477,308.040558,884.758911,27.640863
0.025,206.455414,1414.474243,22.15493,279.557983,1099.850586,-74.825256,307.970947,884.756287,27.782877
0.033,206.446793,1414.494019,22.246864,279.542938,1099.853394,-74.73336,307.898865,884.769958,27.90427
0.042,206.455963,1414.519409,22.31937,279.533966,1099.865723,-74.644264,307.839447,884.777527,28.028236
0.05,206.440414,1414.546631,22.415735,279.525269,1099.868164,-74.559723,307.771332,884.797485,28.155605
0.058,206.43103,1414.553833,22.490339,279.533875,1099.883789,-74.488243,307.722595,884.803528,28.271763
0.067,206.411072,1414.554199,22.57865,279.5495,1099.886597,-74.39286,307.701691,884.830139,28.417439
0.075,206.404297,1414.55127,22.669466,279.561127,1099.88208,-74.306366,307.671234,884.83728,28.548157
0.083,206.387375,1414.541504,22.748947,279.592285,1099.880493,-74.229744,307.653931,884.850525,28.665632
0.092,206.363907,1414.528931,22.835184,279.638031,1099.885254,-74.159203,307.639221,884.862366,28.769329
0.1,206.348694,1414.5177,22.894764,279.675293,1099.880127,-74.084709,307.636688,884.878845,28.850857
0.108,206.33754,1414.505005,22.955265,279.711609,1099.872437,-74.023216,307.627106,884.877747,28.919092
0.117,206.325729,1414.480835,23.010201,279.735779,1099.860718,-73.969757,307.618225,884.867065,28.986856
0.125,206.321533,1414.458496,23.059113,279.756805,1099.858032,-73.931427,307.615204,884.859192,29.044479
0.133,206.316803,1414.442993,23.104231,279.773193,1099.842529,-73.891869,307.613373,884.867615,29.069305
0.142,206.303879,1414.41687,23.163437,279.790527,1099.820435,-73.873024,307.60318,884.850769,29.082428
0.15,206.298904,1414.399902,23.181063,279.799774,1099.81604,-73.866837,307.601196,884.822937,29.077053
0.158,206.303833,1414.387817,23.195702,279.80838,1099.792847,-73.852852,307.611176,884.79425,29.07972
