1.23,,,,,,,,,
,,,,,,,,,
Type,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker
Name,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LWristOut,Sammy:LWristOut,Sammy:LWristOut
ID,10,10,10,12,12,12,15,15,15
,Position,Position,Position,Position,Position,Position,Position,Position,Position
Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,233.472839,1411.101807,2.176799,309.392029,1097.926025,-95.710335,332.073639,881.650024,9.150313
0.008,233.574295,1411.173096,2.294892,309.50293,1098.014038,-95.670242,332.357605,881.737122,9.114807
0.017,233.677582,1411.226807,2.407765,309.588043,1098.075684,-95.597191,332.637146,881.804993,9.057961
0.025,233.782028,1411.295166,2.555333,309.71582,1098.166138,-95.517441,332.941803,881.884277,8.966968
0.033,233.878326,1411.346802,2.683995,309.87915,1098.289551,-95.439438,333.258362,881.982178,8.905278
0.042,233.97464,1411.384399,2.821606,310.037323,1098.399414,-95.340752,333.573883,882.058655,8.826323
0.05,234.046173,1411.423828,2.962758,310.200134,1098.538208,-95.260651,333.904602,882.081726,8.79906
0.058,234.106995,1411.445801,3.133547,310.380127,1098.626465,-95.145393,334.22525,882.124451,8.78565
0.067,234.158127,1411.460083,3.269572,310.6492,1098.654907,-94.966209,334.568207,882.143188,8.772839
0.075,234.16832,1411.475586,3.41698,310.86441,1098.716309,-94.818871,334.904205,882.177856,8.710279
0.083,234.190735,1411.492676,3.559116,311.085571,1098.804932,-94.64991,335.250122,882.22876,8.632683
0.092,234.196854,1411.504028,3.706671,311.299286,1098.893799,-94.51918,335.615265,882.268982,8.580612
0.1,234.204285,1411.504639,3.857017,311.482697,1098.9823,-94.38253,335.989227,882.297119,8.526237
0.108,234.197784,1411.504639,3.99426,311.672211,1099.089111,-94.229309,336.33313,882.334595,8.480201
0.117,234.173141,1411.496826,4.158942,311.834106,1099.183838,-94.114372,336.626465,882.350952,8.420518
0.125,234.150269,1411.497925,4.290677,311.962494,1099.254272,-93.99247,336.894897,882.377563,8.345511
0.133,234.121536,1411.487427,4.438821,312.071533,1099.327026,-93.878487,337.127045,882.357483,8.231078
0.142,234.097061,1411.491699,4.600884,312.157684,1099.385132,-93.751213,337.389435,882.388672,8.196977
0.15,234.059235,1411.490234,4.759282,312.247833,1099.480713,-93.672043,337.555664,882.39386,8.128098
0.158,234.020157,1411.49292,4.900733,312.2742,1099.504028,-93.571121,337.726501,882.367432,8.052625
