1.23,,,,,,,,,
,,,,,,,,,
Type,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker
Name,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LWristOut,Sammy:LWristOut,Sammy:LWristOut
ID,10,10,10,12,12,12,15,15,15
,Position,Position,Position,Position,Position,Position,Position,Position,Position
Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,198.829437,1405.264893,27.984064,271.359528,1088.651978,-61.249062,299.945221,876.029175,45.387943
0.008,198.98912,1405.272461,28.029123,271.497528,1088.703735,-61.397415,300.065063,876.027588,45.182976
0.017,199.098053,1405.29248,28.058739,271.625488,1088.744263,-61.493641,300.174805,876.038879,44.961342
0.025,199.216934,1405.311401,28.086336,271.756714,1088.795532,-61.618233,300.299408,876.040588,44.7341
0.033,199.345016,1405.33252,28.106281,271.885284,1088.859375,-61.736416,300.415649,876.046875,44.541031
0.042,199.45079,1405.359863,28.119228,272.035919,1088.944824,-61.845657,300.529633,876.055359,44.341129
0.05,199.574097,1405.400513,28.142893,272.167633,1089.01062,-61.947311,300.670319,876.103699,44.12524
0.058,199.693069,1405.428955,28.16028,272.306793,1089.093384,-62.024921,300.842438,876.154663,43.938984
0.067,199.822586,1405.460327,28.162411,272.471191,1089.174438,-62.126011,300.995941,876.213989,43.718884
0.075,199.946701,1405.511597,28.177086,272.633972,1089.260376,-62.22205,301.135162,876.262207,43.521008
0.083,200.063339,1405.557007,28.186129,272.784332,1089.33667,-62.302044,301.282654,876.31543,43.367199
0.092,200.172684,1405.594727,28.190689,272.926025,1089.405396,-62.38414,301.424622,876.369934,43.240345
0.1,200.286987,1405.638916,28.18162,273.103363,1089.520508,-62.477322,301.575195,876.413879,43.123924
0.108,200.39299,1405.697021,28.164228,273.270508,1089.620239,-62.547482,301.730835,876.467712,43.047348
0.117,200.519394,1405.741577,28.149942,273.436829,1089.699585,-62.599339,301.883148,876.51178,42.971001
0.125,200.651215,1405.776001,28.1343,273.591522,1089.772339,-62.6404,302.035492,876.565308,42.910564
0.133,200.775223,1405.804932,28.105469,273.743134,1089.810669,-62.667706,302.186218,876.58905,42.851772
0.142,200.892838,1405.834961,28.081856,273.903625,1089.866699,-62.695652,302.332031,876.616943,42.803894
0.15,201.046066,1405.872803,28.060108,274.043823,1089.907349,-62.710957,302.467865,876.65741,42.766476
0.158,201.17099,1405.907959,28.040768,274.177185,1089.937134,-62.716866,302.594116,876.689575,42.748074
