1.23,,,,,,,,,
,,,,,,,,,
Type,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker
Name,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LWristOut,Sammy:LWristOut,Sammy:LWristOut
ID,10,10,10,12,12,12,15,15,15
,Position,Position,Position,Position,Position,Position,Position,Position,Position
Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,-21.795597,1416.648804,-159.416687,-213.091843,1178.634033,-268.88092,-25.818262,1003.095276,-266.298187
0.008,-22.715256,1416.259644,-160.571579,-212.947495,1177.453003,-270.180267,-24.946096,1002.768372,-266.721436
0.017,-23.806398,1415.918579,-161.632629,-212.809448,1176.225342,-271.65683,-24.056124,1002.378113,-267.25528
0.025,-24.79188,1415.505859,-162.623444,-212.574142,1175.019531,-273.011749,-23.117868,1001.932617,-267.744232
0.033,-25.837191,1415.000732,-163.545685,-212.31163,1173.746094,-274.250427,-22.17972,1001.348755,-268.196655
0.042,-26.856859,1414.55188,-164.41684,-212.030762,1172.419067,-275.610046,-21.382124,1000.860901,-268.502472
0.05,-27.875977,1414.033691,-165.212036,-211.83992,1171.20166,-277.080566,-20.669422,1000.214233,-268.992828
0.058,-28.824446,1413.455566,-165.923538,-211.585373,1169.902222,-278.297363,-19.845341,999.444275,-269.552399
0.067,-29.819317,1412.780273,-166.682724,-211.351273,1168.475098,-279.723969,-19.120289,998.851013,-270.030243
0.075,-30.721785,1412.036743,-167.29805,-211.074295,1167.095947,-281.181152,-18.303093,998.108032,-270.55246
0.083,-31.71109,1411.248901,-167.983032,-210.881348,1165.657593,-282.644531,-17.496433,997.188599,-270.984161
0.092,-32.645851,1410.237793,-168.546982,-210.653442,1164.000488,-284.055206,-16.775526,996.326904,-271.411743
0.1,-33.565941,1409.199829,-169.148026,-210.33609,1162.305786,-285.602203,-15.910836,995.36084,-271.915924
0.108,-34.581512,1407.96936,-169.746414,-210.163162,1160.559204,-287.198578,-15.091498,994.441589,-272.404846
0.117,-35.461967,1406.80249,-170.276413,-209.901108,1158.571899,-288.606415,-14.070122,993.403381,-272.896179
0.125,-36.469387,1405.355591,-170.868439,-209.677124,1156.650513,-290.312256,-13.099851,992.384888,-273.334534
0.133,-37.430672,1403.807373,-171.376266,-209.449036,1154.451904,-291.913635,-12.212721,991.191223,-273.885132
0.142,-38.488708,1402.180908,-171.895508,-209.178787,1152.233398,-293.623413,-11.203217,990.064392,-274.41861
