1.23,,,,,,,,,
,,,,,,,,,
Type,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker
Name,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LWristOut,Sammy:LWristOut,Sammy:LWristOut
ID,10,10,10,12,12,12,15,15,15
,Position,Position,Position,Position,Position,Position,Position,Position,Position
Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0.45,198.708923,1415.49231,-54.937054,284.850464,1111.495605,-136.497696,293.44693,889.058167,-25.4543
0.458,198.701691,1415.496216,-54.971058,284.853088,1111.500244,-136.528152,293.456146,889.064636,-25.500252
0.467,198.697556,1415.486816,-55.006626,284.845154,1111.504517,-136.573975,293.436432,889.046936,-25.534372
0.475,198.692032,1415.492554,-55.038239,284.846252,1111.502686,-136.625961,293.436218,889.054138,-25.580469
0.483,198.688873,1415.48938,-55.062412,284.847931,1111.506226,-136.650528,293.427429,889.055359,-25.613268
0.492,198.674591,1415.485962,-55.078167,284.846069,1111.520996,-136.690964,293.439819,889.067078,-25.646112
0.5,198.661911,1415.483765,-55.098484,284.843201,1111.511719,-136.72818,293.44931,889.080627,-25.683857
0.508,198.651215,1415.478271,-55.1161,284.846436,1111.511719,-136.75676,293.435547,889.072388,-25.713505
0.517,198.626968,1415.468018,-55.124672,284.832855,1111.515991,-136.794418,293.445679,889.078369,-25.739761
0.525,198.610352,1415.470825,-55.143749,284.843597,1111.513062,-136.813934,293.452759,889.085022,-25.74992
0.533,198.577881,1415.444824,-55.147182,284.833649,1111.523438,-136.849258,293.473114,889.085144,-25.783861
0.542,198.556122,1415.455811,-55.162277,284.838745,1111.521484,-136.862091,293.461487,889.092224,-25.814943
0.55,198.531952,1415.440918,-55.174465,284.83493,1111.525269,-136.888748,293.446838,889.085999,-25.854527
0.558,198.520477,1415.427246,-55.190285,284.845734,1111.512573,-136.90947,293.439301,889.067566,-25.874939
0.567,198.499634,1415.411987,-55.197254,284.852325,1111.506836,-136.930862,293.448364,889.074097,-25.893377
0.575,198.483932,1415.400635,-55.200737,284.846436,1111.499146,-136.957062,293.476471,889.080811,-25.935989
0.583,198.475693,1415.390259,-55.216854,284.843414,1111.487305,-136.992599,293.482819,889.073914,-25.94965
0.592,198.453247,1415.35791,-55.20871,284.817352,1111.468872,-137.01709,293.472809,889.057617,-25.986525
0.6,198.451691,1415.338135,-55.206455,284.815094,1111.456543,-137.037476,293.442566,889.042603,-26.065313
0.608,198.463882,1415.328491,-55.193363,284.788025,1111.455444,-137.078491,293.424164,889.024475,-26.115299
0.617,198.453293,1415.313477,-55.175961,284.771606,1111.44165,-137.112946,293.393494,889.010742,-26.174023
0.625,198.452972,1415.28064,-55.131119,284.758942,1111.417969,-137.144165,293.372162,888.975708,-26.226637
0.633,198.439682,1415.251465,-55.10651,284.74884,1111.408569,-137.172134,293.349426,888.95282,-26.300352
0.642,198.414627,1415.210327,-55.032654,284.728485,1111.398315,-137.208313,293.296448,888.909668,-26.35363
0.65,198.388199,1415.18042,-54.999607,284.717834,1111.385498,-137.246155,293.296387,888.882751,-26.448942
0.658,198.362961,1415.133667,-54.956646,284.707733,1111.355469,-137.261826,293.268066,888.843994,-26.533049
0.667,198.337708,1415.097656,-54.926121,284.716125,1111.336914,-137.293625,293.242096,888.812561,-26.61562
0.675,198.320435,1415.05542,-54.903702,284.707611,1111.319214,-137.322754,293.220795,888.76062,-26.686666
0.683,198.3172,1415.020264,-54.88591,284.698303,1111.286621,-137.355148,293.209717,888.718994,-26.758232
0.692,198.295715,1414.977539,-54.851894,284.699982,1111.266846,-137.379684,293.217834,888.659302,-26.826019
0.7,198.281296,1414.930054,-54.83083,284.687286,1111.246826,-137.401642,293.172058,888.596741,-26.880405
0.708,198.249496,1414.878174,-54.794899,284.654022,1111.225586,-137.44342,293.163971,888.557068,-26.946978
0.717,198.226486,1414.832764,-54.761581,284.620209,1111.187988,-137.473724,293.115173,888.538635,-27.026735
0.725,198.211365,1414.79895,-54.722595,284.582855,1111.158813,-137.514252,293.091766,888.465088,-27.082254
0.733,198.201355,1414.73938,-54.67963,284.540222,1111.124023,-137.553864,293.071655,888.426392,-27.161293
0.742,198.180695,1414.691895,-54.638954,284.501221,1111.094971,-137.603088,293.063263,888.370667,-27.229832
0.75,198.177826,1414.648682,-54.598579,284.446381,1111.045898,-137.654984,293.015747,888.334412,-27.323914
0.758,198.141953,1414.598022,-54.53614,284.381378,1110.996826,-137.698761,293.007324,888.291931,-27.412411
0.767,198.12645,1414.556274,-54.479343,284.331024,1110.951904,-137.747406,292.986542,888.250549,-27.498478
0.775,198.103439,1414.50415,-54.419601,284.304993,1110.9198,-137.792038,292.971802,888.164612,-27.58021
0.783,198.081131,1414.456299,-54.375233,284.256653,1110.892212,-137.831329,292.967285,888.135132,-27.679922
0.792,198.064789,1414.415771,-54.331848,284.222809,1110.878296,-137.905594,292.940674,888.091736,-27.766472
0.8,198.035477,1414.368652,-54.283287,284.169708,1110.82373,-138.005539,292.927368,888.065857,-27.882568
0.808,198.016251,1414.342163,-54.243912,284.125702,1110.810425,-138.053925,292.907013,888.049194,-27.988256
0.817,197.999023,1414.305908,-54.209991,284.087189,1110.795044,-138.106735,292.862549,888.002014,-28.076761
