1.23,,,,,,,,,
,,,,,,,,,
Type,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker
Name,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LWristOut,Sammy:LWristOut,Sammy:LWristOut
ID,10,10,10,12,12,12,15,15,15
,Position,Position,Position,Position,Position,Position,Position,Position,Position
Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0.475,185.62262,1414.405518,147.330109,279.617706,1112.730469,34.193623,291.982666,894.641663,133.293549
0.483,185.618484,1414.250732,147.201721,279.569946,1112.713379,34.072681,293.02066,894.941956,133.798172
0.492,185.582123,1414.118164,147.083939,279.554688,1112.722412,33.931847,294.210083,895.42749,134.431793
0.5,185.528778,1414.038452,146.962448,279.616333,1112.787476,33.76635,295.473267,896.040588,135.213501
0.508,185.473083,1413.975464,146.863785,279.79068,1112.947998,33.489685,296.855194,896.757629,135.907562
0.517,185.415237,1413.915649,146.75943,280.147919,1113.223755,33.051197,298.329895,897.617188,136.788376
0.525,185.378342,1413.885742,146.644424,280.637787,1113.609741,32.469711,299.912842,898.855103,137.839417
0.533,185.347534,1413.845947,146.528564,281.292267,1114.071167,31.754129,301.350555,900.152771,138.887695
0.542,185.336441,1413.828491,146.439835,282.20755,1114.676636,30.750315,303.002228,901.82312,140.161194
0.55,185.318329,1413.844238,146.383331,283.252045,1115.401611,29.655825,304.528656,903.597107,141.693588
0.558,185.301743,1413.839355,146.333374,284.603729,1116.15686,28.435331,305.937622,905.639526,143.254166
0.567,185.307892,1413.864136,146.321793,286.183136,1117.033203,26.950022,307.638702,908.048584,145.202972
0.575,185.330215,1413.914917,146.306137,287.808014,1118.07605,25.349033,309.296143,910.766113,147.438507
0.583,185.359329,1413.96582,146.28688,289.668732,1119.130981,23.666197,311.179718,913.897461,149.90213
0.592,185.388947,1414.051392,146.252182,291.713409,1120.368286,21.947027,313.128357,917.192017,152.919098
0.6,185.433365,1414.151733,146.195129,293.706451,1121.550659,20.210495,315.15863,921.003723,155.622498
