1.23,,,,,,,,,
,,,,,,,,,
Type,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker
Name,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LWristOut,Sammy:LWristOut,Sammy:LWristOut
ID,10,10,10,12,12,12,15,15,15
,Position,Position,Position,Position,Position,Position,Position,Position,Position
Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,194.531021,1414.04834,-0.28831,271.973053,1103.128662,-107.924019,290.399323,882.349731,-8.103264
0.008,194.512833,1414.02478,-0.240181,271.952667,1103.105835,-107.882408,290.382782,882.313354,-8.068586
0.017,194.411148,1414.006836,-0.478501,271.925476,1103.081909,-107.839394,290.351624,882.273682,-8.035142
0.025,194.408279,1413.991089,-0.445029,271.898712,1103.04895,-107.784729,290.320648,882.265198,-8.011031
0.033,194.393631,1413.972534,-0.402499,271.872162,1103.020996,-107.745537,290.297607,882.221069,-7.982535
0.042,194.389893,1413.94812,-0.351657,271.8367,1102.972412,-107.66172,290.257935,882.184326,-7.930302
0.05,194.373001,1413.931641,-0.313813,271.82019,1102.942627,-107.616501,290.227203,882.176453,-7.862207
0.058,194.365326,1413.91394,-0.2886,271.801086,1102.929199,-107.572624,290.195282,882.165588,-7.803525
0.067,194.358566,1413.917358,-0.243002,271.779175,1102.914185,-107.529839,290.165649,882.136841,-7.73593
0.075,194.345139,1413.911621,-0.216628,271.773285,1102.899658,-107.465492,290.125092,882.148438,-7.639913
0.083,194.329163,1413.90686,-0.184303,271.757294,1102.870483,-107.410271,290.095825,882.145386,-7.556922
0.092,194.311111,1413.901733,-0.161926,271.74646,1102.860352,-107.362068,290.048248,882.143738,-7.469647
0.1,194.298767,1413.898193,-0.134765,271.74649,1102.848389,-107.2938,290.028564,882.136292,-7.379661
0.108,194.290894,1413.896606,-0.094368,271.744232,1102.829712,-107.220932,290.00589,882.163757,-7.272023
0.117,194.2798,1413.887207,-0.057312,271.732666,1102.828491,-107.155708,289.972534,882.174194,-7.157375
0.125,194.256653,1413.894897,-0.018912,271.729248,1102.820557,-107.087585,289.936005,882.159119,-7.046779
0.133,194.248428,1413.895752,0.021324,271.736298,1102.814331,-107.029099,289.893707,882.153625,-6.927729
0.142,194.236237,1413.889526,0.068593,271.735046,1102.814209,-106.950806,289.859497,882.14801,-6.818145
0.15,194.218292,1413.877319,0.140199,271.734283,1102.81311,-106.891312,289.82608,882.167053,-6.698514
