1.23,,,,,,,,,
,,,,,,,,,
Type,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker
Name,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LWristOut,Sammy:LWristOut,Sammy:LWristOut
ID,10,10,10,12,12,12,15,15,15
,Position,Position,Position,Position,Position,Position,Position,Position,Position
Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,-173.495941,1394.765869,67.287483,-336.827087,1148.719727,203.358902,-311.454559,998.721863,-4.467738
0.008,-173.749634,1392.025879,71.53727,-336.670776,1143.149536,203.984161,-311.324432,996.145447,-6.065556
0.017,-174.025925,1389.13916,75.951447,-336.548859,1137.536011,204.524551,-311.233154,993.268616,-7.573396
0.025,-174.382492,1386.253418,80.467712,-336.349243,1131.875977,204.815689,-311.181549,990.495361,-9.140442
0.033,-174.83638,1383.26709,84.92202,-335.796936,1126.257202,205.047272,-311.1745,987.862915,-10.932764
0.042,-175.362335,1380.188477,89.29998,-335.393005,1120.79541,205.181656,-311.114319,985.191345,-12.583735
0.05,-175.843887,1377.244141,93.496353,-334.951965,1115.668701,205.103195,-311.000122,982.812744,-14.407869
0.058,-176.304611,1374.280518,97.21611,-334.190002,1110.531616,204.898209,-310.814301,980.696777,-16.324295
0.067,-176.730621,1371.384888,100.56794,-333.668304,1105.925049,204.578613,-310.490967,978.838135,-18.515505
0.075,-177.133942,1368.645874,103.423447,-333.190826,1101.548218,203.985825,-310.217438,977.321838,-20.734602
0.083,-177.70665,1366.03125,105.626297,-332.705475,1097.439209,203.318542,-309.807465,976.193665,-23.088919
0.092,-178.343872,1363.579346,107.13784,-332.407715,1093.753784,202.394745,-309.356384,975.541748,-25.641979
0.1,-178.903961,1361.404663,108.210281,-332.363373,1090.626221,201.097305,-308.725159,975.078186,-28.314144
0.108,-179.181046,1359.601074,108.614929,-332.445892,1087.877319,199.58223,-307.931,975.207092,-31.292967
0.117,-179.408051,1358.037598,108.555061,-332.757812,1085.739746,197.484238,-307.169891,975.954895,-34.497173
0.125,-179.319885,1356.9552,108.082237,-333.477814,1084.016602,195.136414,-306.19339,977.419617,-38.098129
0.133,-179.017502,1356.25708,107.303146,-334.29953,1082.934326,192.463379,-304.942383,979.625732,-42.209873
0.142,-178.603226,1355.919556,106.198456,-335.20929,1082.302124,189.37709,-303.297882,982.894592,-46.866974
0.15,-178.017746,1355.905762,104.782501,-336.652832,1082.214111,185.90654,-301.413361,987.680969,-52.007652
